차수,날짜,종목명,수량,매입단가,매매구분,매도단가,평가손익,수익률,IDX,코드
1차,2026.01.03, 엔비디아,1,190.43,매수, , , ,1,NVDA
1차,2026.01.05, 엔비디아,1,190.43,매도,191.0500 ,0.62 ,0.33 ,2,NVDA
1차,2026.01.05, *NVDL,3,90.85,매수, , , ,3,NVDL
1차,2026.01.05, *NVDL,3,90.85,매도,94.1700 ,9.96 ,3.65 ,4,NVDL
1차,2026.01.05, *SOXL,6,49.6999,매수, , , ,5,SOXL
1차,2026.01.05, *SOXL,6,49.6999,매도,51.2000 ,9.00 ,3.02 ,6,SOXL
1차,2026.01.05, *TSLL,16,18.73,매수, , , ,7,TSLL
1차,2026.01.05, *TSLL,16,18.73,매도,19.3000 ,9.12 ,3.04 ,8,TSLL
1차,2026.01.03, 테슬라,1,446.29,매수, , , ,9,TSLA
1차,2026.01.05, 테슬라,1,446.29,매도,452.6200 ,6.33 ,1.42 ,10,TSLA
4차,2026.01.06, *MUU,2,119.04,매수, , , ,11,MUU
4차,2026.01.06, *MUU,2,119.04,매도,122.8384 ,7.60 ,3.19 ,12,MUU
2차,2026.01.06, *SOXL,6,49.3199,매수, , , ,13,SOXL
2차,2026.01.06, *SOXL,6,49.3199,매도,50.8201 ,9.00 ,3.04 ,14,SOXL
2차,2026.01.06, *SOXL,6,49.4099,매수, , , ,15,SOXL
2차,2026.01.06, *SOXL,6,49.4099,매도,51.3250 ,11.49 ,3.88 ,16,SOXL
4차,2026.01.06, *MUU,3,119.14,매수, , , ,17,MUU
4차,2026.01.06, *MUU,3,119.14,매도,126.3500 ,21.63 ,6.05 ,18,MUU
3차,2026.01.06, *NVDL,3,88.04,매수, , , ,19,NVDL
3차,2026.01.06, *NVDL,3,88.04,매도,91.7750 ,11.21 ,4.24 ,20,NVDL
3차,2026.01.05, *MUU,2,122.9334,매수, , , ,21,MUU
3차,2026.01.06, *MUU,2,122.9334,매도,127.7950 ,9.72 ,3.95 ,22,MUU
1차,2026.01.05, *GGLL,3,98.6,매수, , , ,23,GGLL
1차,2026.01.06, *GGLL,3,98.6,매도,101.5700 ,8.91 ,3.01 ,24,GGLL
2차,2026.01.05, *MUU,2,126.86,매수, , , ,25,MUU
2차,2026.01.06, *MUU,2,126.86,매도,130.8000 ,7.88 ,3.11 ,26,MUU
2차,2026.01.06, *MUU,3,126.99,매수, , , ,27,MUU
2차,2026.01.06, *MUU,3,126.99,매도,131.0400 ,12.15 ,3.19 ,28,MUU
1차,2026.01.05, *SOXL,6,50.95,매수, , , ,29,SOXL
1차,2026.01.06, *SOXL,6,50.95,매도,52.4801 ,9.18 ,3.00 ,30,SOXL
1차,2026.01.05, *MUU,2,130.92,매수, , , ,31,MUU
1차,2026.01.06, *MUU,2,130.92,매도,134.8500 ,7.86 ,3.00 ,32,MUU
1차,2026.01.05, *TQQQ,6,53.41,매수, , , ,33,TQQQ
1차,2026.01.07, *TQQQ,6,53.41,매도,54.9750 ,9.39 ,2.93 ,34,TQQQ
1차,2026.01.07, *MUU,4,137.69,매수, , , ,35,MUU
1차,2026.01.07, *MUU,4,137.69,매도,141.8100 ,16.48 ,2.99 ,36,MUU
1차,2026.01.07, *MUU,4,138.68,매수, , , ,37,MUU
1차,2026.01.07, *MUU,4,138.68,매도,143.1300 ,17.80 ,3.21 ,38,MUU
1차,2026.01.07, *GGLL,6,97.72,매수, , , ,39,GGLL
1차,2026.01.07, *GGLL,6,97.72,매도,100.6700 ,17.70 ,3.02 ,40,GGLL
3차,2026.01.07, *NVDL,3,88.05,매수, , , ,41,NVDL
3차,2026.01.07, *NVDL,3,88.05,매도,90.7300 ,8.04 ,3.04 ,42,NVDL
1차,2026.01.07, *MUU,4,141.14,매수, , , ,43,MUU
1차,2026.01.08, *MUU,4,141.14,매도,145.3700 ,16.92 ,3.00 ,44,MUU
1차,2026.01.07, *GGLL,6,101.63,매수, , , ,45,GGLL
1차,2026.01.08, *GGLL,6,101.63,매도,104.8500 ,19.32 ,3.17 ,46,GGLL
1차,2026.01.08, *GGLL,6,103.44,매수, , , ,47,GGLL
1차,2026.01.08, *GGLL,6,103.44,매도,107.4051 ,23.79 ,3.83 ,48,GGLL
5차,2026.01.08, *TSLL,17,17.06,매수, , , ,49,TSLL
5차,2026.01.09, *TSLL,17,17.06,매도,17.5820 ,8.87 ,3.06 ,50,TSLL
4차,2026.01.09, *SOXL,8,48.4599,매수, , , ,51,SOXL
4차,2026.01.09, *SOXL,8,48.4599,매도,51.0700 ,20.88 ,5.39 ,52,SOXL
3차,2026.01.08, *SOXL,7,50.04,매수, , , ,53,SOXL
3차,2026.01.09, *SOXL,7,50.04,매도,51.5600 ,10.64 ,3.04 ,54,SOXL
1차,2026.01.08, *GGLL,6,103.59,매수, , , ,55,GGLL
1차,2026.01.09, *GGLL,6,103.59,매도,106.7800 ,19.14 ,3.08 ,56,GGLL
2차,2026.01.09, *MUU,4,132.68,매수, , , ,57,MUU
2차,2026.01.09, *MUU,4,132.68,매도,136.7000 ,16.08 ,3.03 ,58,MUU
4차,2026.01.07, *TSLL,17,17.59,매수, , , ,59,TSLL
4차,2026.01.10, *TSLL,17,17.59,매도,18.1200 ,9.01 ,3.01 ,60,TSLL
2차,2026.01.07, *SOXL,7,51.66,매수, , , ,61,SOXL
2차,2026.01.10, *SOXL,7,51.66,매도,53.2300 ,10.99 ,3.04 ,62,SOXL
3차,2026.01.06, *TSLL,16,18.135,매수, , , ,63,TSLL
3차,2026.01.10, *TSLL,16,18.135,매도,18.6900 ,8.88 ,3.06 ,64,TSLL
1차,2026.01.08, *MUU,4,137.56,매수, , , ,65,MUU
1차,2026.01.10, *MUU,4,137.56,매도,141.8300 ,17.08 ,3.10 ,66,MUU
1차,2026.01.07, *SOXL,6,53.375,매수, , , ,67,SOXL
1차,2026.01.10, *SOXL,6,53.375,매도,53.8500 ,2.85 ,0.89 ,68,SOXL
1차,2026.01.09, *SOXL,7,51.97,매수, , , ,69,SOXL
1차,2026.01.12, *SOXL,7,51.97,매도,53.5701 ,11.20 ,3.08 ,70,SOXL
1차,2026.01.09, *MUU,4,140.87,매수, , , ,71,MUU
1차,2026.01.12, *MUU,4,140.87,매도,145.1500 ,17.12 ,3.04 ,72,MUU
3차,2026.01.12, *TSLL,16,18.11,매수, , , ,73,TSLL
3차,2026.01.12, *TSLL,16,18.11,매도,18.6600 ,8.80 ,3.04 ,74,TSLL
1차,2026.01.09, *GGLL,6,106.64,매수, , , ,75,GGLL
1차,2026.01.13, *GGLL,6,106.64,매도,109.8700 ,19.38 ,3.03 ,76,GGLL
2차,2026.01.06, *TSLL,16,18.71,매수, , , ,77,TSLL
2차,2026.01.13, *TSLL,16,18.71,매도,19.2900 ,9.28 ,3.10 ,78,TSLL
4차,2026.01.09, *NVDL,3,85.42,매수, , , ,79,NVDL
4차,2026.01.13, *NVDL,3,85.42,매도,87.9900 ,7.71 ,3.01 ,80,NVDL
4차,2025.12.30, 현대무벡스,13,"18,740 ",매수, , , ,65,319400
4차,2026.01.02, 현대무벡스,13,"18,740 ",매도,"19,390 ","7,937 ",3.26 ,66,319400
2차,2025.12.30, 오픈엣지테크놀로지,8,"14,320 ",매수, , , ,67,394280
2차,2026.01.02, 오픈엣지테크놀로지,8,"14,320 ",매도,"14,840 ","3,927 ",3.43 ,68,394280
2차,2026.01.02, 원익홀딩스,5,"47,250 ",매수, , , ,69,30530
2차,2026.01.02, 원익홀딩스,5,"47,250 ",매도,"48,850 ","7,501 ",3.18 ,70,30530
3차,2025.12.30, 삼현,4,"56,000 ",매수, , , ,71,437730
3차,2026.01.02, 삼현,4,"56,000 ",매도,"57,625 ","6,026 ",2.69 ,72,437730
4차,2026.01.02, 링크솔루션,4,"58,600 ",매수, , , ,73,474650
4차,2026.01.02, 링크솔루션,4,"58,600 ",매도,"60,500 ","7,105 ",3.03 ,74,474650
3차,2025.12.30, 현대무벡스,12,"19,340 ",매수, , , ,75,319400
3차,2026.01.02, 현대무벡스,12,"19,340 ",매도,"19,920 ","6,470 ",2.79 ,76,319400
1차,2025.12.29, 삼성전자,2,"119,000 ",매수, , , ,77,5930
1차,2026.01.02, 삼성전자,2,"119,000 ",매도,"122,700 ","6,899 ",2.9 ,78,5930
1차,2026.01.02, ISC,3,"113,000 ",매수, , , ,79,95340
1차,2026.01.02, ISC,3,"113,000 ",매도,"116,300 ","9,172 ",2.71 ,80,95340
1차,2025.12.30, 한미반도체,2,"128,700 ",매수, , , ,81,42700
1차,2026.01.02, 한미반도체,2,"128,700 ",매도,"132,800 ","7,662 ",2.98 ,82,42700
2차,2025.12.29, 현대무벡스,12,"19,880 ",매수, , , ,83,319400
2차,2026.01.02, 현대무벡스,12,"19,880 ",매도,"20,500 ","6,938 ",2.91 ,84,319400
1차,2025.12.29, 현대무벡스,10,"20,450 ",매수, , , ,85,319400
1차,2026.01.02, 현대무벡스,10,"20,450 ",매도,"21,150 ","6,560 ",3.21 ,86,319400
4차,2026.01.02, 링크솔루션,4,"58,500 ",매수, , , ,87,474650
4차,2026.01.02, 링크솔루션,4,"58,500 ",매도,"60,400 ","7,106 ",3.04 ,88,474650
1차,2026.01.02, 현대무벡스,15,"21,450 ",매수, , , ,89,319400
1차,2026.01.02, 현대무벡스,15,"21,450 ",매도,"22,150 ","9,822 ",3.05 ,90,319400
1차,2026.01.02, 한미반도체,4,"134,000 ",매수, , , ,91,42700
1차,2026.01.02, 한미반도체,4,"134,000 ",매도,"138,200 ","15,645 ",2.92 ,92,42700
1차,2026.01.02, 제주반도체,15,"28,675 ",매수, , , ,93,80220
1차,2026.01.02, 제주반도체,15,"28,675 ",매도,"29,650 ","13,705 ",3.19 ,94,80220
2차,2026.01.02, 현대무벡스,18,"21,450 ",매수, , , ,95,319400
2차,2026.01.02, 현대무벡스,18,"21,450 ",매도,"22,100 ","10,884 ",2.82 ,96,319400
1차,2026.01.02, ISC,4,"115,500 ",매수, , , ,97,95340
1차,2026.01.02, ISC,4,"115,500 ",매도,"118,600 ","11,417 ",2.47 ,98,95340
1차,2026.01.02, 한미반도체,4,"138,600 ",매수, , , ,99,42700
1차,2026.01.02, 한미반도체,4,"138,600 ",매도,"143,000 ","16,411 ",2.96 ,100,42700
2차,2026.01.02, 오픈엣지테크놀로지,8,"14,325 ",매수, , , ,101,394280
2차,2026.01.02, 오픈엣지테크놀로지,8,"14,325 ",매도,"14,790 ","3,488 ",3.04 ,102,394280
1차,2026.01.02, 현대무벡스,20,"22,050 ",매수, , , ,103,319400
1차,2026.01.02, 현대무벡스,20,"22,050 ",매도,"22,800 ","14,060 ",3.19 ,104,319400
1차,2026.01.02, 제주반도체,15,"30,250 ",매수, , , ,105,80220
1차,2026.01.02, 제주반도체,15,"30,250 ",매도,"31,200 ","13,278 ",2.93 ,106,80220
1차,2026.01.02, 현대무벡스,20,"22,950 ",매수, , , ,107,319400
1차,2026.01.02, 현대무벡스,20,"22,950 ",매도,"23,650 ","13,019 ",2.84 ,108,319400
1차,2026.01.02, 삼성전자,4,"123,700 ",매수, , , ,109,5930
1차,2026.01.02, 삼성전자,4,"123,700 ",매도,"126,800 ","11,348 ",2.29 ,110,5930
1차,2026.01.02, SK하이닉스,8,"658,000 ",매수, , , ,111,660
1차,2026.01.02, SK하이닉스,8,"658,000 ",매도,"673,000 ","108,729 ",2.07 ,112,660
1차,2026.01.02, 삼성전기,2,"260,000 ",매수, , , ,113,9150
1차,2026.01.02, 삼성전기,2,"260,000 ",매도,"268,000 ","14,886 ",2.86 ,114,9150
1차,2025.12.29, 오픈엣지테크놀로지,7,"14,740 ",매수, , , ,115,394280
1차,2026.01.02, 오픈엣지테크놀로지,7,"14,740 ",매도,"15,210 ","3,079 ",2.98 ,116,394280
1차,2026.01.02, 한미반도체,4,"144,500 ",매수, , , ,117,42700
1차,2026.01.05, 한미반도체,4,"144,500 ",매도,"154,100 ","36,998 ",6.4 ,118,42700
4차,2026.01.02, 삼현,4,"54,600 ",매수, , , ,119,437730
4차,2026.01.05, 삼현,4,"54,600 ",매도,"57,400 ","10,681 ",4.89 ,120,437730
1차,2026.01.02, ISC,4,"118,000 ",매수, , , ,121,95340
1차,2026.01.05, ISC,4,"118,000 ",매도,"121,200 ","11,691 ",2.48 ,122,95340
1차,2026.01.02, 제주반도체,15,"30,900 ",매수, , , ,123,80220
1차,2026.01.05, 제주반도체,15,"30,900 ",매도,"34,850 ","58,075 ",12.53 ,124,80220
1차,2026.01.02, 디아이티,7,"15,420 ",매수, , , ,125,110990
1차,2026.01.05, 디아이티,7,"15,420 ",매도,"19,030 ","24,984 ",23.15 ,126,110990
3차,2026.01.05, 현대무벡스,18,"21,950 ",매수, , , ,127,319400
3차,2026.01.05, 현대무벡스,18,"21,950 ",매도,"22,651 ","11,700 ",2.96 ,128,319400
1차,2026.01.05, 한미반도체,2,"156,400 ",매수, , , ,129,42700
1차,2026.01.05, 한미반도체,2,"156,400 ",매도,"161,500 ","9,474 ",3.03 ,130,42700
4차,2026.01.05, 제주반도체,9,"31,850 ",매수, , , ,131,80220
4차,2026.01.05, 제주반도체,9,"31,850 ",매도,"32,800 ","7,880 ",2.75 ,132,80220
3차,2026.01.05, 현대무벡스,18,"21,800 ",매수, , , ,133,319400
3차,2026.01.05, 현대무벡스,18,"21,800 ",매도,"22,500 ","11,680 ",2.98 ,134,319400
2차,2026.01.05, 현대무벡스,17,"22,400 ",매수, , , ,135,319400
2차,2026.01.05, 현대무벡스,17,"22,400 ",매도,"23,100 ","11,015 ",2.89 ,136,319400
1차,2026.01.02, 현대무벡스,20,"23,500 ",매수, , , ,137,319400
1차,2026.01.05, 현대무벡스,20,"23,500 ",매도,"24,200 ","12,892 ",2.74 ,138,319400
1차,2026.01.05, 현대무벡스,10,"24,350 ",매수, , , ,139,319400
1차,2026.01.05, 현대무벡스,10,"24,350 ",매도,"25,150 ","7,437 ",3.05 ,140,319400
1차,2026.01.05, 한미반도체,3,"156,300 ",매수, , , ,141,42700
1차,2026.01.05, 한미반도체,3,"156,300 ",매도,"161,300 ","13,893 ",2.96 ,142,42700
3차,2026.01.02, 삼현,4,"56,100 ",매수, , , ,143,437730
3차,2026.01.05, 삼현,4,"56,100 ",매도,"57,900 ","6,677 ",2.98 ,144,437730
1차,2026.01.05, 한미반도체,1,"161,000 ",매수, , , ,145,42700
1차,2026.01.05, 한미반도체,1,"161,000 ",매도,"166,100 ","4,728 ",2.94 ,146,42700
5차,2026.01.05, 현대무벡스,17,"23,300 ",매수, , , ,147,319400
5차,2026.01.05, 현대무벡스,17,"23,300 ",매도,"24,050 ","11,823 ",2.98 ,148,319400
4차,2026.01.05, 클로봇,4,"61,100 ",매수, , , ,149,466100
4차,2026.01.06, 클로봇,4,"61,100 ",매도,"62,925 ","6,737 ",2.76 ,150,466100
4차,2026.01.05, 현대무벡스,16,"23,925 ",매수, , , ,151,319400
4차,2026.01.06, 현대무벡스,16,"23,925 ",매도,"24,750 ","12,308 ",3.22 ,152,319400
5차,2026.01.05, 원익홀딩스,5,"44,400 ",매수, , , ,153,30530
5차,2026.01.06, 원익홀딩스,5,"44,400 ",매도,"45,850 ","6,732 ",3.03 ,154,30530
2차,2025.12.30, 삼현,4,"57,500 ",매수, , , ,155,437730
2차,2026.01.06, 삼현,4,"57,500 ",매도,"59,200 ","6,267 ",2.72 ,156,437730
1차,2025.12.29, 삼현,4,"59,300 ",매수, , , ,157,437730
1차,2026.01.06, 삼현,4,"59,300 ",매도,"61,800 ","9,446 ",3.98 ,158,437730
5차,2026.01.06, ISC,2,"108,050 ",매수, , , ,159,95340
5차,2026.01.06, ISC,2,"108,050 ",매도,"111,500 ","6,394 ",2.96 ,160,95340
1차,2026.01.06, 한미반도체,2,"170,600 ",매수, , , ,161,42700
1차,2026.01.06, 한미반도체,2,"170,600 ",매도,"176,200 ","10,396 ",3.05 ,162,42700
5차,2026.01.06, 현대무벡스,17,"23,250 ",매수, , , ,163,319400
5차,2026.01.06, 현대무벡스,17,"23,250 ",매도,"24,000 ","11,824 ",2.99 ,164,319400
4차,2026.01.06, 제주반도체,9,"30,050 ",매수, , , ,165,80220
4차,2026.01.06, 제주반도체,9,"30,050 ",매도,"31,050 ","8,362 ",3.09 ,166,80220
4차,2026.01.06, 현대무벡스,16,"23,900 ",매수, , , ,167,319400
4차,2026.01.06, 현대무벡스,16,"23,900 ",매도,"24,600 ","10,313 ",2.7 ,168,319400
1차,2026.01.05, SK하이닉스,8,"687,000 ",매수, , , ,169,660
1차,2026.01.06, SK하이닉스,8,"687,000 ",매도,"709,000 ","162,986 ",2.97 ,170,660
4차,2026.01.05, ISC,2,"111,100 ",매수, , , ,171,95340
4차,2026.01.06, ISC,2,"111,100 ",매도,"114,500 ","6,282 ",2.83 ,172,95340
2차,2026.01.06, 한미반도체,1,"172,300 ",매수, , , ,173,42700
2차,2026.01.06, 한미반도체,1,"172,300 ",매도,"177,800 ","5,105 ",2.96 ,174,42700
4차,2025.12.29, 엠씨넥스,8,"28,950 ",매수, , , ,175,97520
4차,2026.01.06, 엠씨넥스,8,"28,950 ",매도,"29,800 ","6,264 ",2.7 ,176,97520
1차,2026.01.06, 한미반도체,1,"177,600 ",매수, , , ,177,42700
1차,2026.01.06, 한미반도체,1,"177,600 ",매도,"183,300 ","5,294 ",2.98 ,178,42700
4차,2026.01.06, 디아이티,8,"17,415 ",매수, , , ,179,110990
4차,2026.01.07, 디아이티,8,"17,415 ",매도,"18,528 ","8,564 ",6.15 ,180,110990
1차,2026.01.06, 한미반도체,1,"183,200 ",매수, , , ,181,42700
1차,2026.01.07, 한미반도체,1,"183,200 ",매도,"194,000 ","10,372 ",5.66 ,182,42700
1차,2026.01.05, 삼성전자,36,"135,600 ",매수, , , ,183,5930
1차,2026.01.07, 삼성전자,36,"135,600 ",매도,"142,904 ","251,161 ",5.15 ,184,5930
2차,2026.01.06, 삼성전기,1,"262,500 ",매수, , , ,185,9150
2차,2026.01.07, 삼성전기,1,"262,500 ",매도,"270,500 ","7,389 ",2.81 ,186,9150
2차,2026.01.06, 두산에너빌리티,3,"83,800 ",매수, , , ,187,34020
2차,2026.01.07, 두산에너빌리티,3,"83,800 ",매도,"86,600 ","7,821 ",3.11 ,188,34020
3차,2026.01.06, 삼현,5,"56,300 ",매수, , , ,189,437730
3차,2026.01.07, 삼현,5,"56,300 ",매도,"58,200 ","8,838 ",3.14 ,190,437730
4차,2026.01.06, 제주반도체,9,"31,500 ",매수, , , ,191,80220
4차,2026.01.07, 제주반도체,9,"31,500 ",매도,"32,750 ","10,581 ",3.73 ,192,80220
7차,2026.01.07, 클로봇,4,"56,600 ",매수, , , ,193,466100
7차,2026.01.07, 클로봇,4,"56,600 ",매도,"58,450 ","6,873 ",3.04 ,194,466100
3차,2026.01.05, 제주반도체,9,"32,750 ",매수, , , ,195,80220
3차,2026.01.07, 제주반도체,9,"32,750 ",매도,"31,850 ","-8,753 ",-2.97 ,196,80220
2차,2026.01.05, 제주반도체,8,"33,700 ",매수, , , ,197,80220
2차,2026.01.07, 제주반도체,8,"33,700 ",매도,"31,850 ","-15,379 ",-5.7 ,198,80220
1차,2026.01.05, 제주반도체,8,"34,650 ",매수, , , ,199,80220
1차,2026.01.07, 제주반도체,8,"34,650 ",매도,"31,850 ","-22,979 ",-8.29 ,200,80220
2차,2026.01.06, 삼현,5,"57,900 ",매수, , , ,201,437730
2차,2026.01.07, 삼현,5,"57,900 ",매도,"59,700 ","8,323 ",2.87 ,202,437730
3차,2025.12.29, 엠씨넥스,8,"29,681 ",매수, , , ,203,97520
3차,2026.01.07, 엠씨넥스,8,"29,681 ",매도,"30,600 ","6,801 ",2.86 ,204,97520
1차,2026.01.06, 삼현,4,"59,300 ",매수, , , ,205,437730
1차,2026.01.07, 삼현,4,"59,300 ",매도,"61,200 ","7,051 ",2.97 ,206,437730
9차,2026.01.06, 링크솔루션,5,"45,250 ",매수, , , ,207,474650
9차,2026.01.07, 링크솔루션,5,"45,250 ",매도,"46,750 ","6,973 ",3.08 ,208,474650
4차,2026.01.07, 현대무벡스,16,"23,925 ",매수, , , ,209,319400
4차,2026.01.07, 현대무벡스,16,"23,925 ",매도,"24,650 ","10,712 ",2.8 ,210,319400
6차,2026.01.06, 클로봇,4,"58,200 ",매수, , , ,211,466100
6차,2026.01.07, 클로봇,4,"58,200 ",매도,"60,200 ","7,459 ",3.2 ,212,466100
9차,2026.01.07, 링크솔루션,5,"46,750 ",매수, , , ,213,474650
9차,2026.01.07, 링크솔루션,5,"46,750 ",매도,"48,300 ","7,207 ",3.08 ,214,474650
4차,2026.01.07, 삼현,2,"58,000 ",매수, , , ,215,437730
4차,2026.01.07, 삼현,2,"58,000 ",매도,"59,800 ","3,341 ",2.88 ,216,437730
5차,2026.01.07, 현대무벡스,17,"23,350 ",매수, , , ,217,319400
5차,2026.01.07, 현대무벡스,17,"23,350 ",매도,"24,100 ","11,821 ",2.98 ,218,319400
9차,2026.01.07, 링크솔루션,5,"47,250 ",매수, , , ,219,474650
9차,2026.01.07, 링크솔루션,5,"47,250 ",매도,"48,900 ","7,701 ",3.26 ,220,474650
8차,2026.01.06, 링크솔루션,5,"48,550 ",매수, , , ,221,474650
8차,2026.01.07, 링크솔루션,5,"48,550 ",매도,"50,300 ","8,187 ",3.37 ,222,474650
7차,2026.01.06, 링크솔루션,8,"50,875 ",매수, , , ,223,474650
7차,2026.01.07, 링크솔루션,8,"50,875 ",매도,"52,600 ","12,839 ",3.15 ,224,474650
7차,2026.01.07, 링크솔루션,4,"52,900 ",매수, , , ,225,474650
